   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   1.422        0.429
         2                   1.627        0.604
         3                   1.586        0.538
         4                   1.263        0.243
         5                   1.398        0.511
         6                   1.502        0.562
         7                   1.269        0.202
         8                   1.257        0.284
         9                   1.401        0.259
        10                   1.503        0.492
        11                   1.442        0.495
        12                   1.268        0.654
        13                   1.557        1.231
        14                   1.700        1.556
        15                   1.645        1.486
        16                   1.894        1.547
        17                   1.716        1.233
        18                   1.970        1.962
        19                   1.791        0.894
        20                   2.242        1.599
        21                   2.288        1.620
        22                   2.268        1.623
        23                   1.600        0.574
        24                   2.224        1.077
        25                   2.170        1.074
        26                   1.167        0.407
        27                   1.263        0.512
        28                   3.270        1.776
        29                   3.294        2.168
        30                   2.460        1.614
        31                   1.632        0.685
        32                   1.997        1.128
        33                   2.677        1.357
        34                   2.529        2.294
