Frame,Time (ns),Halogen Bonds,Hydrogen Bonds,Pi-Pi Stacking,Pi-Cation
1,0.0,0,0,1,0
2,0.1,0,0,0,0
3,0.2,0,0,1,0
4,0.3,0,0,1,0
5,0.4,0,0,0,0
6,0.5,0,0,2,0
7,0.6,0,0,1,0
8,0.7,0,0,1,0
9,0.8,0,0,0,0
10,0.9,0,0,1,0
11,1.0,0,0,1,0
12,1.1,0,0,0,0
13,1.2,0,0,1,0
14,1.3,0,0,1,0
15,1.4,0,1,0,0
16,1.5,0,0,0,0
17,1.6,0,0,1,0
18,1.7,0,0,0,1
19,1.8,0,0,0,0
20,1.9,0,1,0,0
21,2.0,0,1,0,0
22,2.1,0,1,1,0
23,2.2,0,1,0,0
24,2.3,0,1,0,0
25,2.4,0,0,0,0
26,2.5001,0,1,0,0
27,2.6001,0,0,0,0
28,2.7001,0,0,0,0
29,2.8001,0,0,0,0
30,2.9001,0,1,0,0
31,3.0001,0,1,0,0
32,3.1001,0,0,1,0
33,3.2001,0,0,1,0
34,3.3001,0,1,1,0
35,3.4001,0,1,1,0
36,3.5001,0,0,0,0
37,3.6001,0,1,0,0
38,3.7001,0,0,0,0
39,3.8001,0,1,0,0
40,3.9001,0,0,1,0
41,4.0001,0,1,0,0
42,4.1001,0,0,0,0
43,4.2001,0,0,0,0
44,4.3001,0,0,0,0
45,4.4001,0,0,0,0
46,4.5001,0,1,1,1
47,4.6001,0,0,0,1
48,4.7001,0,1,0,0
49,4.8001,0,1,0,0
50,4.9001,0,0,0,0
51,5.0001,0,1,0,0
52,5.1001,0,1,0,1
53,5.2001,0,1,0,0
54,5.3001,0,1,0,0
55,5.4001,0,0,0,0
56,5.5001,0,0,0,0
57,5.6001,0,1,0,0
58,5.7001,0,0,0,0
59,5.8001,0,0,0,0
60,5.9001,0,1,0,0
61,6.0001,0,1,0,0
62,6.1001,0,1,0,0
63,6.2001,0,1,0,0
64,6.3001,0,1,0,0
65,6.4001,0,0,1,0
66,6.5001,0,1,0,0
67,6.6001,0,1,0,0
68,6.7001,0,1,0,0
69,6.8001,0,1,1,0
70,6.9001,0,1,1,0
71,7.0001,0,1,0,0
72,7.1001,0,1,0,0
73,7.2001,0,1,0,0
74,7.3001,0,1,2,0
75,7.4001,0,1,1,0
76,7.5002,0,1,1,0
77,7.6002,0,1,0,0
78,7.7002,0,1,1,0
79,7.8002,0,1,0,0
80,7.9002,0,1,0,0
81,8.0002,0,1,0,0
82,8.1002,0,1,0,0
83,8.2002,0,1,0,0
84,8.3002,0,1,1,0
85,8.4002,0,1,1,0
86,8.5002,0,1,1,0
87,8.6002,0,1,1,0
88,8.7002,0,1,0,0
89,8.8002,0,1,0,0
90,8.9002,0,1,0,0
91,9.0002,0,1,1,0
92,9.1002,0,1,1,0
93,9.2002,0,1,0,0
94,9.3002,0,1,0,0
95,9.4002,0,1,0,0
96,9.5002,0,1,0,0
97,9.6002,0,1,0,0
98,9.7002,0,1,0,0
99,9.8002,0,1,1,0
100,9.9002,0,1,1,0
101,10.0002,0,1,1,0
102,10.1002,0,1,0,0
103,10.2002,0,1,0,0
104,10.3002,0,1,0,0
105,10.4002,0,1,0,0
106,10.5002,0,1,1,0
107,10.6002,0,1,0,0
108,10.7002,0,1,0,0
109,10.8002,0,1,0,0
110,10.9002,0,1,0,0
111,11.0002,0,1,0,0
112,11.1002,0,1,0,0
113,11.2002,0,1,0,0
114,11.3002,0,1,0,0
115,11.4002,0,0,0,0
116,11.5002,0,1,0,0
117,11.6002,0,1,1,0
118,11.7002,0,1,0,0
119,11.8002,0,1,1,0
120,11.9002,0,1,0,0
121,12.0002,0,1,1,0
122,12.1002,0,0,0,0
123,12.2002,0,1,1,0
124,12.3002,0,1,1,0
125,12.4002,0,1,2,0
126,12.5002,0,1,0,0
127,12.6003,0,1,1,0
128,12.7003,0,1,1,0
129,12.8003,0,1,1,0
130,12.9003,0,0,0,0
131,13.0003,0,0,0,0
132,13.1003,0,1,0,0
133,13.2003,0,1,1,0
134,13.3003,0,1,0,0
135,13.4003,0,1,0,0
136,13.5003,0,1,1,0
137,13.6003,0,0,0,0
138,13.7003,0,1,0,0
139,13.8003,0,1,0,0
140,13.9003,0,1,0,0
141,14.0003,0,1,1,0
142,14.1003,0,1,1,0
143,14.2003,0,1,1,0
144,14.3003,0,1,1,0
145,14.4003,0,0,1,0
146,14.5003,0,1,0,0
147,14.6003,0,1,0,0
148,14.7003,0,1,0,0
