Frame,Time (ns),RMSD 2 (51 atoms)
1,0.0,0.07934325442371663
2,0.1,1.3925009291139094
3,0.2,2.045013379716138
4,0.3,1.4002282149400087
5,0.4,1.6325545908827723
6,0.5,1.4194178592460662
7,0.6,1.7993997373568829
8,0.7,2.0087228531687122
9,0.8,2.5526543877932615
10,0.9,2.870905499736163
11,1.0,2.2668974766907297
12,1.1,4.354666156666515
13,1.2,4.028138969744499
14,1.3,3.234368397970053
15,1.4,3.0501626534414976
16,1.5,2.2688738067384935
17,1.6,2.7693917297712414
18,1.7,3.9883014061707693
19,1.8,2.63006782432739
20,1.9,3.921935342773655
21,2.0,2.8482107925239304
22,2.1,1.995930892334584
23,2.2,1.9176762206269864
24,2.3,2.6236018034670603
25,2.4,3.111745490259802
26,2.5001,1.8778512737365607
27,2.6001,3.5226832407096422
28,2.7001,2.5082023035496204
29,2.8001,2.6491487581566093
30,2.9001,2.9631663665434305
31,3.0001,3.278725425539677
32,3.1001,3.882062340641719
33,3.2001,3.1554992549042016
34,3.3001,2.702139848383734
35,3.4001,3.730461804067244
36,3.5001,2.8304587194694664
37,3.6001,2.298944628880398
38,3.7001,2.937819018607868
39,3.8001,3.1606774251214618
40,3.9001,2.10449158885139
41,4.0001,3.1888607597736107
42,4.1001,4.680983799507005
43,4.2001,5.386674373208451
44,4.3001,3.220560511610648
45,4.4001,3.434729880029482
46,4.5001,3.5370647677392077
47,4.6001,3.3057501231380857
48,4.7001,2.8364790220622873
49,4.8001,2.3213524649898254
50,4.9001,3.0346532441620973
51,5.0001,2.3988328776165266
52,5.1001,2.8566256182248813
53,5.2001,3.6566749756466104
54,5.3001,2.4670872846428815
55,5.4001,3.60282639799083
56,5.5001,4.635387318456222
57,5.6001,3.442364874514336
58,5.7001,4.196827992370752
59,5.8001,2.8262947202605906
60,5.9001,5.0103747117604795
61,6.0001,3.871711024635988
62,6.1001,2.731374118926047
63,6.2001,5.728461886616396
64,6.3001,4.269359444257014
65,6.4001,5.207920559476028
66,6.5001,3.6792611346785074
67,6.6001,3.2342800876446325
68,6.7001,4.7018718000089
69,6.8001,3.7088161503866752
70,6.9001,4.600834996329783
71,7.0001,6.203801890840024
72,7.1001,4.62417412214994
73,7.2001,3.8890228033266556
74,7.3001,4.0727931427314035
75,7.4001,4.780412187970826
76,7.5002,3.236016229965366
77,7.6002,3.391731163639956
