  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        4.624            0      404.667       55.025      101.535
        1        0.744        4.561            0      396.954       38.788      102.253
        2        0.780        4.512            0      396.325       43.071      103.731
        3        0.989        4.471            0      388.947       36.203      102.816
        4        0.906        4.533            0      396.420       28.046      104.289
        5        0.466        4.647            0      408.594       36.864       99.936
        6        0.665        4.735            0      404.889       54.734      100.937
        7        0.571        4.562            0      396.660       27.978       99.596
        8        0.990        4.672            0      400.397       45.715      102.614
        9        0.788        4.512            0      396.364       34.960      101.084
       10        0.577        4.671            0      399.634       40.265       99.628
       11        0.915        4.526            0      393.409       39.249      102.104
       12        0.813        4.659            0      406.063       50.085      103.415
       13        1.515        4.714            0      399.799       38.923      102.295
       14        0.910        4.592            0      398.923       33.186       99.059
       15        0.659        4.607            0      398.591       30.622       99.964
       16        0.925        4.701            0      412.119       31.406      103.572
       17        1.038        4.583            0      398.964       35.201       99.088
       18        1.041        4.570            0      392.318       52.861      104.363
       19        0.739        4.555            0      394.941       53.496      102.937
       20        0.820        4.599            0      397.573       53.828      103.449
       21        0.663        4.623            0      399.249       37.710      100.548
       22        0.768        4.591            0      396.920       56.743       98.898
       23        0.750        4.684            0      408.050       46.394      105.211
       24        0.914        4.543            0      397.985       65.206      102.633
       25        0.913        4.738            0      413.106       76.810      100.254
       26        0.730        4.600            0      400.063       61.100       99.213
       27        0.812        4.679            0      401.701       58.550      101.671
       28        0.591        4.578            0      400.798       96.382       98.572
       29        0.835        4.560            0      405.593       79.779       98.059
       30        1.166        4.618            0      406.075       61.572      100.918
       31        0.940        4.634            0      399.225       81.183       99.913
       32        1.030        4.578            0      393.750       76.899      101.536
       33        1.393        4.581            0      395.346       72.481       99.742
       34        0.875        4.634            0      410.155       68.753      104.575
       35        0.867        4.594            0      400.078       76.757      103.320
       36        1.121        4.720            0      418.165       68.778      103.620
       37        0.962        4.675            0      404.354       82.976       99.922
       38        0.851        4.608            0      408.064       82.810      103.539
       39        1.032        4.609            0      401.244       80.706       98.942
       40        0.910        4.753            0      412.384      105.581      102.048
       41        0.621        4.532            0      392.861       85.813      105.151
       42        0.629        4.714            0      416.616       90.762       97.045
       43        1.470        4.890            0      413.326       94.403       97.784
       44        1.316        4.867            0      410.910       73.549       99.571
       45        1.358        4.547            0      393.755       78.514      104.082
       46        1.134        4.701            0      404.907       87.160      103.061
       47        0.818        4.675            0      402.789       89.292      103.547
       48        0.781        4.533            0      394.431       89.121      102.320
       49        1.283        4.629            0      402.336      106.810      102.344
       50        1.000        4.639            0      406.348       92.863      103.763
       51        1.036        4.494            0      393.103      100.263      103.138
       52        0.811        4.716            0      415.644       98.190      100.695
       53        0.873        4.657            0      405.047      120.906      104.009
       54        1.046        4.582            0      393.845       75.369       99.075
       55        1.316        4.587            0      397.790       86.701       98.673
       56        1.260        4.736            0      412.765       94.962      101.554
