## Torsion are defined with the following atomIDs:
# dihed1: ai= 18 aj= 17 ak= 12 al= 11
# dihed2: ai= 13 aj= 14 ak= 31 al= 32
# dihed3: ai= 15 aj= 11 ak= 4 al= 3
# dihed4: ai= 2 aj= 1 ak= 35 al= 40
# dihed5: ai= 1 aj= 35 ak= 40 al= 38
# dihed6: ai= 40 aj= 38 ak= 44 al= 45
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
0  -44.912   62.466  -60.407 -126.046   89.211  167.747
1  -45.264 -166.220  -59.362 -134.885   66.850  179.586
2  -31.810  -27.577  -86.342 -127.681   69.947 -174.016
3  -61.524  -76.180  -69.902 -123.224   68.059  174.818
4  -60.436  175.659  -58.863 -112.465   46.811 -160.605
5  -62.549    5.925  -58.260 -141.240   75.784 -171.396
6  -37.871   26.937  -55.377 -138.198   76.900  145.981
7  -60.078   -8.609  -64.259 -124.838   66.594 -168.135
8  -45.406 -122.862  -69.748 -144.481   64.604 -174.831
9  -46.338 -126.354  -59.227 -127.983   63.971 -156.835
10  -48.705  154.036  -60.882 -134.040   74.530  170.883
11  -67.956  -85.160  -59.964 -121.495   42.017 -163.843
12  -45.584 -122.772  -56.606 -132.131   63.007  177.005
13 -118.595 -100.342 -131.878  -70.357   65.088  152.626
14 -111.696  -10.728  -63.515 -142.622   81.048  163.820
15  -77.897   -7.179  -60.626 -142.047   67.715  174.139
16  -89.200    7.472  -59.360 -148.959   77.788  149.820
17  -91.739 -157.459  -47.257 -120.214   60.680  159.847
18  -97.465   15.168  -64.490 -118.446   50.788  175.470
19  -65.827    1.633  -55.919 -115.550   63.504  165.030
20  -61.055  -20.462  -62.504 -128.175   61.310  165.877
21  -60.431  107.173  -53.444 -126.952   55.066  171.439
22  -62.611  104.326  -45.585 -145.295   68.804  176.049
23  -70.422   26.129  -64.045 -122.395   51.245  174.943
24  -81.398  122.269  -72.919 -111.731   48.464  178.038
25  -76.038 -100.616  -50.272 -120.223   58.401  155.479
26  -80.897  125.301  -65.831 -121.023   72.506  157.667
27 -102.672    6.963  -70.506 -134.780   54.454  164.073
28  -66.176   -9.919  -53.203 -102.973   52.338  175.061
29  -68.490 -151.322  -57.953 -107.674   66.533  175.240
30  -78.770 -123.259 -110.156 -108.645   60.568  174.940
31  -97.436  105.769  -64.477 -128.891   66.789  156.275
32  -94.840   82.379  -46.706 -128.318   71.560  134.281
33 -125.841  142.863 -119.758  -88.789   45.602  178.234
34  -91.253  102.314  -67.386 -114.584   52.356 -175.621
35  -96.710    7.508  -72.025 -124.495   36.971 -175.378
36  -85.600 -114.730  -63.285 -137.959   53.419  179.872
37  -68.044 -144.484  -64.651 -115.422   48.611  163.054
38  -76.245   65.297  -51.415 -119.960   46.220  178.631
39  -58.170 -168.925  -28.733 -135.852   72.782  157.395
40  -80.156 -146.204  -71.306 -102.674   37.409  175.664
41  -83.003   96.881  -56.266 -125.037   51.579  174.923
42  -71.901   42.669  -60.812 -110.962   64.144 -168.966
43 -131.962 -135.906 -117.385 -122.646   71.745  163.089
44 -126.523  111.559 -100.031 -121.106   77.132  158.036
45 -133.493   -5.637 -108.299 -106.523   54.056  166.070
46  -96.335 -134.300  -94.370  -99.624   45.554 -175.525
47  -65.592  -16.544  -32.747 -142.716   58.392  155.754
48  -75.599  143.623  -87.774 -101.114   57.790  178.642
49 -130.939   10.207  -88.596 -102.900   36.908 -169.501
50  -87.643 -163.077  -87.190 -111.163   64.850  172.352
51  -65.405 -110.246  -76.624 -117.883   64.197  173.012
52  -66.958  117.247  -52.999 -125.216   61.035  169.237
53  -63.075 -138.043  -66.752 -113.363   48.634  169.516
54 -113.303   88.611 -105.039  -96.946   60.208 -168.269
55 -138.243   86.688  -98.006  -91.841   64.038  173.496
56 -104.521 -151.585  -58.774 -107.956   48.162  163.632
57 -102.889  -32.433  -82.605 -142.555   66.168  164.315
58 -136.323   -8.163 -107.144  -99.291   53.366 -171.758
59 -145.829  -12.703  -86.077 -120.716   76.397  177.197
60 -142.232  -18.445  -99.306 -127.035   57.821 -179.264
61 -124.723  -57.128  -98.692 -117.078   76.845  146.367
62 -138.590   25.870 -130.594 -108.174   72.241  158.807
63 -142.147 -112.177 -118.490  -96.707   55.717  177.112
64 -160.781 -132.554 -129.152  -93.969   74.458  140.629
65 -139.978   14.390 -110.676 -123.026   61.127 -173.827
66 -119.881  -25.715 -125.545 -106.654   87.338  151.967
67 -150.170  110.189 -140.141  -97.996   64.098  164.720
68 -133.630  123.690 -114.094  -97.284   63.981 -179.562
69 -152.154 -130.098 -122.161 -114.671   58.166  178.554
70 -133.456   -2.509 -127.008  -94.425   70.065  147.192
71 -148.342 -121.071 -116.242 -113.923   74.932  157.008
72 -130.685 -114.265 -111.453  -93.324   52.938  174.493
73 -145.681  -13.185 -109.770 -126.156   72.740  164.835
74 -141.832   92.218 -122.610 -109.537   58.569  177.794
75 -150.906 -123.704 -113.205 -104.379   67.592  171.910
76 -137.076 -144.916 -115.126  -96.599   61.936  167.777
77 -135.847 -125.609 -119.776 -104.190   76.053  166.261
78 -138.379 -147.274  -85.619 -124.893   64.969  166.258
79 -142.924  121.418 -119.563 -101.715   78.297  151.902
80 -123.142  125.980 -129.462  -92.925   60.497  179.799
81 -138.409   14.521 -120.724 -110.736   71.651  160.926
82 -146.058  134.819 -123.864 -104.926   61.650  163.445
83 -134.061   -1.617 -108.999 -105.308   65.226  158.171
84 -152.948  104.486  -96.868 -118.666   54.030  176.904
85 -132.238  130.891 -122.129  -94.380   78.957  153.582
86 -135.675 -131.090 -106.912  -98.822   59.732  169.929
87 -125.196 -125.087 -127.609  -94.805   66.695  177.650
88 -114.034  134.932 -124.309  -95.097   85.721  158.249
89 -132.546 -141.663 -120.114  -90.276   72.996  178.419
90 -129.469 -136.081 -119.308 -100.243   62.603  171.898
91 -129.333  -14.944 -118.768 -103.725   52.296  170.565
92 -128.669 -149.817 -124.381 -100.263   55.262  169.374
93 -136.551  -14.684 -108.960 -103.353   52.969 -177.505
94 -124.577  132.317  -91.415 -123.722   68.996  171.249
95 -131.745  133.562 -135.163  -89.293   65.388  164.024
96 -109.257  111.688 -105.722 -122.528   60.499 -174.848
97 -138.479  -88.249 -100.067 -119.899   73.660  156.169
98 -128.088 -129.384 -131.343 -103.560   71.594  159.417
99 -132.685    9.818 -112.665 -119.733   78.476  162.368
100 -129.909  123.627 -123.379 -116.018   52.216 -175.877
101 -144.453  144.180 -108.398 -134.126   69.149  176.874
102 -128.084  -13.532 -127.121 -101.088   68.115  173.664
103 -109.792   21.791 -119.561 -112.007   61.976  166.990
104 -134.030   -6.659 -103.446 -114.174   55.246  177.604
105 -128.290   15.646 -124.447  -88.314   84.148  166.792
106 -121.624  -13.332 -119.509 -119.369   61.628 -178.931
107 -138.329  110.699 -115.870 -120.655   51.437  177.570
108 -151.611   91.662 -113.420 -123.690   61.205 -174.387
109 -138.177 -123.134 -120.727 -105.252   68.266  178.459
110 -132.560   51.712 -112.890  -96.271   63.426  175.286
111 -138.584  -21.485 -120.517 -102.738   69.947  161.264
112 -139.219  -94.248 -122.846 -107.040   64.880  179.995
113 -128.413    5.309 -138.750  -81.833   65.100  171.953
114 -143.092    1.200 -121.041 -101.615   76.528  166.914
115 -137.437    7.991 -125.445  -96.980   51.603 -171.177
116 -132.019   20.876 -125.216  -98.298   65.971  171.903
117 -146.245  137.676 -121.612  -93.471   87.118  154.904
118 -136.536 -125.607 -107.607 -120.441   70.787  167.222
119 -126.720 -117.666 -104.950 -122.676   72.181 -172.074
120 -144.709 -134.153 -132.752 -109.982   67.654 -179.677
121 -140.881   -5.908 -115.090 -102.603   87.755  168.416
122 -141.945    4.303 -120.741  -95.951   64.773 -179.502
123 -131.378   17.869 -121.800 -113.409   59.374 -165.038
124 -153.511   11.552 -116.623 -111.101   74.564  159.547
125 -127.115 -108.287 -125.031 -110.349   51.130 -175.808
126 -148.057   -6.282 -133.270 -100.252   59.926 -178.925
127 -142.856  113.900 -119.680 -114.803   81.573  169.325
128 -142.993   38.892 -107.243 -109.209   56.228 -177.713
129 -127.956  125.132 -129.331  -98.021   66.481  164.634
130 -130.039   -4.950 -101.772 -124.533   71.066  164.434
131 -132.919 -121.407 -121.740 -118.303   75.362  161.984
132 -125.526   -1.518  -90.692 -135.702   71.582  171.409
133 -134.427  144.082 -131.835 -111.483   79.052  151.783
134 -113.942  137.064 -131.221 -102.493   70.976  165.238
135 -125.584  -48.433 -126.079 -109.207   77.137  174.813
136 -146.686 -114.441 -117.218 -113.001   71.206  172.022
137 -131.354   13.837 -145.496  -98.114   58.356  173.708
138 -132.111   -9.341 -119.597 -102.833   43.764 -172.681
139 -146.988 -125.721 -107.574 -121.442   76.980  166.244
140 -145.746  135.572  -99.796 -132.627   58.548  175.973
141 -142.283   22.092 -139.663  -91.821   97.750  145.751
142 -127.822  109.346 -121.697 -127.557   69.218  169.640
143 -153.163  133.246 -133.844 -103.994   84.289  147.339
144 -139.971  127.603 -130.609 -116.188  102.853  156.862
145 -124.781  128.008 -127.820 -105.067   54.265 -179.429
146 -149.272 -109.984 -127.502 -108.364   75.193  165.108
147 -127.048    2.062 -114.032 -118.992   73.480  152.992
148 -135.917  -97.151 -115.365 -102.960   75.299  175.461
149 -120.023  -17.090 -122.321 -111.753   53.616 -176.202
150 -149.226  126.458 -123.198 -104.795   83.935  155.001
151 -131.261  132.042 -113.001 -120.742   50.933 -170.373
152 -117.720 -116.231 -127.348 -120.665   74.412  179.623
153 -153.376  -11.342 -129.783  -99.331   67.367  160.517
154 -127.910   11.826 -102.765 -133.593   78.592  177.936
155 -125.567 -114.890  -97.926 -126.542   63.956  157.823
156 -138.108 -104.340 -132.877 -122.081   70.568 -177.349
157 -145.084   18.722 -120.750 -122.003   58.513  173.892
158 -131.948   -1.304  -98.894 -138.101   70.825  157.485
159 -156.088  -28.091 -103.841 -134.689   57.388 -179.140
160 -137.813  121.590 -113.826 -118.012   78.278  168.890
161 -140.349 -105.310  -85.837 -132.550   61.821  174.835
162 -152.393   -7.100 -112.432 -116.843   51.440 -177.704
163 -142.915  107.027 -106.675 -100.199   58.705 -172.788
164 -127.290   96.201 -101.890 -111.960   61.750  165.797
165 -155.135  138.295 -123.896 -101.537   83.604  162.180
166 -132.857  110.261 -113.087 -102.727   63.171  163.115
167 -140.082 -105.076 -104.094 -125.122   63.023  164.384
168 -141.003 -124.421 -124.513 -133.636   68.556  171.928
169 -142.628  148.356 -131.346 -109.995   83.942  164.807
170 -148.357  -13.933 -122.058 -106.182   84.635  156.634
171 -144.900   33.067 -136.501  -96.725   46.200  171.388
172 -116.676   98.661 -114.396 -120.276   60.303  172.570
173 -141.871    8.134 -102.307 -115.688   72.228  164.332
174 -175.594 -120.844 -105.770 -118.961   64.708  168.550
175 -152.790 -102.786 -129.741 -122.049   50.849 -171.435
176 -129.052  140.144 -137.490  -92.062   29.484 -150.075
177 -131.320  136.571 -112.702 -120.651   64.002  164.328
178 -154.995 -117.720 -127.748 -103.357   55.877  174.518
179 -114.860 -129.284  -94.223 -133.953   52.686  175.596
180 -150.712 -177.745 -127.512 -117.394   62.265  172.634
181 -130.590 -114.493 -114.273 -109.832   68.289  179.690
182 -153.452 -139.415 -118.754 -128.476   80.790  163.088
183 -135.306 -124.080 -130.706 -105.966   75.085  171.085
184 -101.436  -14.118  -77.752 -141.339   68.770  176.942
185 -130.437 -122.199  -84.877 -131.511   72.005  174.660
186 -120.729 -149.505 -127.698  -97.428   80.948  164.588
187 -142.336  126.421 -134.740  -96.563   59.200  176.627
188 -140.036 -134.813 -131.575 -114.459   58.302 -165.615
